"Time","CPU Used","CPU Requested"
1712906760000,0.416545454545465,17
1712906790000,0.40130478327984476,17
1712906820000,0.4121818181818203,17
1712906850000,0.4154545454545322,17
1712906880000,0.4287272727272846,17
1712906910000,0.4378181818181812,17
1712906940000,0.42981818181818043,17
1712906970000,0.4183636363636285,17
1712907000000,0.41636363636364315,17
1712907030000,0.41854545454546754,17
1712907060000,0.42509090909090774,17
1712907090000,0.42403203617457386,17
1712907120000,0.41327272727272435,17
1712907150000,0.4367272727272692,17
1712907180000,0.4365454545454637,17
1712907210000,0.41000000000000425,17
1712907240000,0.4160000000000027,17
1712907270000,0.419636363636367,17
1712907300000,0.4290909090909083,17
1712907330000,0.4301818181817958,17
1712907360000,0.8365454545454636,17
1712907390000,1.3845454545454527,17
1712907420000,1.4823636363636319,17
1712907450000,1.4521818181818165,17
1712907480000,0.890909090909071,17
1712907510000,0.4509090909090785,17
1712907540000,0.4349090909090765,17
1712907570000,0.4312727272727246,17
1712907600000,0.4210909090909237,17
1712907630000,0.42618181818180345,17
1712907660000,0.43072727272729106,17
1712907690000,1.2452727272727078,17
1712907720000,2.400363636363662,17
1712907750000,5.3183636363636335,17
1712907780000,9.559818181818184,17
1712907810000,7.382000000000014,17
1712907840000,2.8720000000000097,17
1712907870000,3.1476363636363374,17
1712907900000,4.740363636363618,17
1712907930000,5.337636363636359,17
1712907960000,5.463272727272728,17
1712907990000,6.146727272727283,17
1712908020000,7.955636363636347,17
1712908050000,7.856000000000002,17
1712908080000,8.636545454545443,17
1712908110000,8.423818181818206,17
1712908140000,4.014909090909095,17
1712908170000,2.094545454545443,17
1712908200000,3.8021818181818254,17
1712908230000,4.780909090909081,17
1712908260000,5.0234545454545545,17
1712908290000,5.306727272727296,17
1712908320000,3.1460000000000043,17
1712908350000,1.5058181818181855,17
1712908380000,1.4936363636363659,17
1712908410000,1.5494545454545507,17
1712908440000,1.6323636363636322,17
1712908470000,1.7592727272727062,17
1712908500000,2.593272727272713,17
1712908530000,3.529090909090908,17
1712908560000,4.372727272727274,17
1712908590000,5.9830909090909135,17
1712908620000,4.814363636363628,17
1712908650000,3.0861818181818146,17
1712908680000,2.8861818181818406,17
1712908710000,2.6794545454545524,17
1712908740000,3.322545454545443,17
1712908770000,4.300363636363661,17
1712908800000,3.522363636363613,17
1712908830000,2.2796363636363743,17
1712908860000,1.8943636363636216,17
1712908890000,1.8840000000000152,17
1712908920000,2.1627272727273112,17
1712908950000,2.869636363636355,17
1712908980000,2.871454545454551,17
1712909010000,2.288909090909081,17
1712909040000,2.1143636363636196,17
1712909070000,2.1407272727272693,17
1712909100000,2.7009090909090867,17
1712909130000,5.16781818181819,17
1712909160000,5.965999999999993,17
1712909190000,3.258545454545443,17
1712909220000,1.7678181818181828,17
1712909250000,2.448727272727262,17
1712909280000,2.861272727272725,17
1712909310000,2.2456363636363927,17
1712909340000,1.7965454545454453,17
1712909370000,2.5216363636363566,17
1712909400000,3.1525454545454368,17
1712909430000,2.406181818181813,17
1712909460000,1.8885454545454778,17
1712909490000,2.5387272727272925,17
1712909520000,3.259454545454571,17
1712909550000,2.968909090909108,17
1712909580000,2.7901818181818276,17
1712909610000,3.988181818181792,17
1712909640000,5.66927272727272,17
1712909670000,4.464181818181823,17
1712909700000,2.8159999999999865,17
1712909730000,2.852000000000004,17
1712909760000,3.0770909090909138,17
1712909790000,4.3547272727273025,17
1712909820000,6.539636363636377,17
1712909850000,5.845818181818157,17
1712909880000,3.872363636363605,17
1712909910000,3.4207272727272704,17
1712909940000,3.494363636363622,17
1712909970000,3.4039999999999555,17
1712910000000,3.146909090909099,17
1712910030000,2.8347272727272457,17
1712910060000,2.0650909090909333,17
1712910090000,1.7661818181818167,17
1712910120000,1.929272727272722,17
1712910150000,1.9316363636363936,17
1712910180000,2.2000000000000424,17
1712910210000,1.4434545454545606,17
1712910240000,0.6425454545453918,17
1712910270000,0.6890909090908369,17
1712910300000,0.7867272727272816,17
1712910330000,0.9001818181818229,17
1712910360000,1.0347272727272876,17
1712910390000,1.0749090909090566,17
1712910420000,1.021272727272713,17
1712910450000,1.0321818181817934,17
1712910480000,1.061999999999998,17
1712910510000,1.1269090909090838,17
1712910540000,1.236727272727265,17
1712910570000,1.4807272727272993,17
1712910600000,1.5258181818181678,17
1712910630000,1.4901818181818527,17
1712910660000,1.5454545454545463,17
1712910690000,1.7865454545454593,17
1712910720000,2.089999999999981,17
1712910750000,3.0392727272727083,17
1712910780000,3.2154545454545524,17
1712910810000,2.5447272727272416,17
1712910840000,2.2059999999999826,17
1712910870000,1.9898181818181921,17
1712910900000,2.0343636363635764,17
1712910930000,2.513999999999959,17
1712910960000,3.366727272727275,17
1712910990000,2.853090909090927,17
1712911020000,2.521818181818179,17
1712911050000,2.5734545454545454,17
1712911080000,2.8334545454544986,17
1712911110000,2.0967272727272515,17
1712911140000,1.2070909090909159,17
1712911170000,1.1629090909090927,17
1712911200000,1.2354545454545098,17
1712911230000,1.2263636363636505,17
1712911260000,1.2056363636363716,17
1712911290000,1.2107272727272098,17
1712911320000,1.1816363636363603,17
1712911350000,1.2221818181818067,17
1712911380000,1.791272727272736,17
1712911410000,2.112545454545448,17
1712911440000,2.1283636363636607,17
1712911470000,2.207999999999977,17
1712911500000,2.4238181818181896,17
1712911530000,3.006909090909077,17
1712911560000,2.244727272727274,17
1712911590000,1.5027272727272996,17
1712911620000,1.5247272727272674,17
1712911650000,1.5330909090909215,17
1712911680000,1.4807272727272829,17
1712911710000,1.4158181818182465,17
1712911740000,1.4529090909091056,17
1712911770000,1.6045454545454718,17
1712911800000,1.9292727272727554,17
1712911830000,2.9594545454545047,17
1712911860000,3.2059999999999493,17
1712911890000,2.7241818181817843,17
1712911920000,2.476727272727261,17
1712911950000,1.7647272727272474,17
1712911980000,1.2461818181817683,17
1712912010000,0.7694545454545575,17
1712912040000,0.46527272727274716,17
1712912070000,0.43781818181819776,17
1712912100000,0.4316363636363605,17
1712912130000,0.437636363636409,17
1712912160000,0.4385454545454369,17
1712912190000,0.4523636363636062,17
1712912220000,0.4507272727272398,17
1712912250000,0.43727272727273125,17
1712912280000,0.43981818181822496,17
1712912310000,0.43363636363633795,17
1712912340000,0.42763636363635593,17
1712912370000,0.43545454545452633,17
1712912400000,0.42672727272726174,17
1712912430000,0.48509090909091557,17
1712912460000,0.4889090909091143,17
1712912490000,0.4430909090908419,17
1712912520000,0.4434545454545521,17
1712912550000,0.4436363636364402,17
1712912580000,0.4636363636363975,17
1712912610000,0.46999999999994124,17
1712912640000,0.4570909090908829,17
1712912670000,0.44672727272725155,17
1712912700000,0.43945454545454743,17
1712912730000,0.43563636363639835,17
1712912760000,0.43072727272721656,17
1712912790000,0.4320000000000378,17
1712912820000,0.4392727272726922,17
1712912850000,0.4500000000000337,17
1712912880000,0.5212727272726961,17
1712912910000,1.7963636363636737,17
1712912940000,2.7496363636363568,17
1712912970000,5.48054545454546,17
1712913000000,7.692000000000008,17
1712913030000,4.990363636363641,17
