Name,RPS,RPS Result,RPS Threshold,TTFB Avg (ms),TTFB P90 (ms),TTFB P90 Threshold (ms),TTFB P95 (ms),Req Status,Req Status Threshold,Result
api_v4_groups,4,4.01,3.20,88.21,102.13,200,137.60,100.00,99,Passed
api_v4_groups_group,4,3.99,0.16,222.00,251.92,24000,275.79,100.00,20,Passed
api_v4_groups_group_subgroups,4,4.01,3.20,100.84,120.70,200,144.75,100.00,99,Passed
api_v4_groups_issues,4,3.96,0.64,318.48,340.75,8000,368.12,100.00,99,Passed
api_v4_groups_merge_requests,4,3.98,0.32,266.57,295.84,17500,309.06,100.00,99,Passed
api_v4_groups_projects,4,3.99,0.16,250.78,285.96,22000,311.01,100.00,30,Passed
api_v4_projects,4,3.87,0.48,512.91,564.32,7000,641.57,100.00,99,Passed
api_v4_projects_deploy_keys,4,4.01,3.20,65.78,77.29,200,96.26,100.00,99,Passed
api_v4_projects_issues,4,4.0,3.20,241.70,267.23,1000,318.43,100.00,99,Passed
api_v4_projects_issues_issue,4,3.99,3.20,246.82,277.65,2600,315.48,100.00,99,Passed
api_v4_projects_issues_search,4,3.99,3.20,77.88,194.62,800,273.89,15.41,99,FAILED
api_v4_projects_languages,4,4.01,3.20,65.39,75.93,200,88.48,100.00,99,Passed
api_v4_projects_merge_requests,4,4.01,3.20,166.32,184.38,400,193.05,100.00,99,Passed
api_v4_projects_merge_requests_merge_request,4,3.98,1.60,249.69,288.47,3500,304.70,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_commits,4,4.01,3.20,141.28,159.40,200,175.96,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_diffs,4,4.01,3.20,113.36,126.52,200,152.12,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_discussions,4,4.0,3.20,204.35,227.73,400,236.71,100.00,99,Passed
api_v4_projects_merge_requests_search,4,4.01,0.96,90.22,220.63,5000,248.36,12.44,99,FAILED
api_v4_projects_project,4,4.01,3.20,147.33,170.77,200,180.42,100.00,99,Passed
api_v4_projects_project_pipelines,4,4.01,3.20,91.95,116.82,200,139.28,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline,4,4.01,3.20,93.61,106.48,200,114.60,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline_jobs,4,3.96,0.64,289.25,314.03,2000,329.16,100.00,99,Passed
api_v4_projects_project_services,4,4.01,3.20,60.37,67.73,200,87.60,100.00,99,Passed
api_v4_projects_releases,4,4.0,3.20,132.80,151.05,200,170.31,100.00,99,Passed
api_v4_projects_repository_branches,4,3.99,3.20,70.17,77.56,200,102.73,100.00,99,Passed
api_v4_projects_repository_branches_branch,4,4.01,3.20,126.50,137.78,200,155.13,100.00,99,Passed
api_v4_projects_repository_branches_search,4,4.0,3.20,70.30,77.43,200,111.07,100.00,99,Passed
api_v4_projects_repository_commits,4,4.01,3.20,117.04,128.55,200,140.83,100.00,99,Passed
api_v4_projects_repository_commits_commit,4,4.01,3.20,112.18,126.50,200,154.66,100.00,99,Passed
api_v4_projects_repository_commits_commit_diff,4,4.0,3.20,187.88,205.06,200,220.29,100.00,99,FAILED
api_v4_projects_repository_compare,4,3.97,3.20,105.64,117.38,200,131.77,100.00,99,Passed
api_v4_projects_repository_files_file,4,4.01,3.20,115.59,130.45,200,142.86,100.00,99,Passed
api_v4_projects_repository_files_file_blame,4,2.84,0.03,1282.37,1306.21,35000,2122.03,100.00,15,Passed
api_v4_projects_repository_files_file_raw,4,4.01,3.20,123.38,134.67,200,165.93,100.00,99,Passed
api_v4_projects_repository_tags,4,4.01,3.20,133.49,151.04,200,166.86,100.00,99,Passed
api_v4_projects_repository_tree,4,4.01,3.20,114.45,125.07,200,132.95,100.00,99,Passed
api_v4_user,4,4.01,3.20,65.94,75.80,200,97.97,100.00,99,Passed
api_v4_users,4,4.01,3.20,82.65,95.77,300,103.50,100.00,99,Passed
git_clone,1,0.8,0.01,144.79,211.20,800,218.09,100.00,99,Passed
git_ls_remote,1,1.02,0.32,83.68,114.11,200,131.04,100.00,99,Passed
git_pull,1,1.01,0.32,119.00,162.59,400,180.32,100.00,99,Passed
web_group,1,1.01,0.32,226.76,291.08,500,302.26,100.00,99,Passed
web_group_issues,1,1.01,0.32,246.71,286.72,500,294.85,100.00,99,Passed
web_group_merge_requests,1,1.01,0.32,402.61,439.57,800,462.66,100.00,99,Passed
web_project,1,1.01,0.32,393.05,465.47,800,482.18,100.00,99,Passed
