Name,RPS,RPS Result,RPS Threshold,TTFB Avg (ms),TTFB P90 (ms),TTFB P90 Threshold (ms),TTFB P95 (ms),Req Status,Req Status Threshold,Result
api_v4_groups,10,9.95,8.00,89.44,100.25,200,122.40,100.00,99,Passed
api_v4_groups_group,10,9.81,0.40,235.59,266.02,24000,301.53,100.00,20,Passed
api_v4_groups_group_subgroups,10,9.99,8.00,96.71,108.34,200,112.86,100.00,99,Passed
api_v4_groups_issues,10,9.77,1.60,323.58,361.66,8000,382.69,100.00,99,Passed
api_v4_groups_merge_requests,10,9.85,0.80,268.75,288.30,17500,302.34,100.00,99,Passed
api_v4_groups_projects,10,9.83,0.40,246.26,280.22,22000,299.65,100.00,30,Passed
api_v4_projects,10,9.57,1.20,530.37,567.99,7000,944.05,100.00,99,Passed
api_v4_projects_deploy_keys,10,10.01,8.00,65.33,72.25,200,83.40,100.00,99,Passed
api_v4_projects_issues,10,9.85,8.00,232.97,263.52,1000,279.07,100.00,99,Passed
api_v4_projects_issues_issue,10,9.83,8.00,245.98,273.77,2600,302.44,100.00,99,Passed
api_v4_projects_issues_search,10,10.01,8.00,57.50,63.12,800,147.94,4.99,99,FAILED
api_v4_projects_languages,10,10.0,8.00,64.72,75.64,200,82.54,100.00,99,Passed
api_v4_projects_merge_requests,10,9.92,8.00,158.79,186.27,400,199.43,100.00,99,Passed
api_v4_projects_merge_requests_merge_request,10,9.84,4.00,259.35,287.66,3500,316.14,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_commits,10,9.95,8.00,137.93,161.14,200,178.33,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_diffs,10,9.97,8.00,108.02,122.86,200,137.44,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_discussions,10,9.88,8.00,201.75,235.22,400,248.53,100.00,99,Passed
api_v4_projects_merge_requests_search,10,10.0,2.40,74.65,81.74,5000,182.94,4.99,99,FAILED
api_v4_projects_project,10,9.92,8.00,147.53,173.67,200,203.79,100.00,99,Passed
api_v4_projects_project_pipelines,10,9.96,8.00,88.24,100.63,200,124.13,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline,10,10.0,8.00,92.44,113.81,200,128.17,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline_jobs,10,9.81,1.60,298.79,333.66,2000,350.17,100.00,99,Passed
api_v4_projects_project_services,10,10.0,8.00,61.34,73.74,200,79.29,100.00,99,Passed
api_v4_projects_releases,10,9.92,8.00,127.77,149.06,200,163.23,100.00,99,Passed
api_v4_projects_repository_branches,10,9.94,8.00,63.22,70.96,200,77.15,100.00,99,Passed
api_v4_projects_repository_branches_branch,10,9.96,8.00,126.92,141.79,200,152.05,100.00,99,Passed
api_v4_projects_repository_branches_search,10,9.95,8.00,64.97,73.76,200,80.19,100.00,99,Passed
api_v4_projects_repository_commits,10,9.98,8.00,118.12,131.05,200,147.54,100.00,99,Passed
api_v4_projects_repository_commits_commit,10,9.95,8.00,110.23,124.75,200,133.81,100.00,99,Passed
api_v4_projects_repository_commits_commit_diff,10,9.9,8.00,251.46,217.11,200,235.10,99.83,99,FAILED
api_v4_projects_repository_compare,10,9.88,8.00,105.39,118.79,200,132.88,100.00,99,Passed
api_v4_projects_repository_files_file,10,9.97,8.00,120.42,133.52,200,146.25,100.00,99,Passed
api_v4_projects_repository_files_file_blame,10,5.37,0.08,1682.92,2011.52,35000,2315.09,100.00,15,Passed
api_v4_projects_repository_files_file_raw,10,9.97,8.00,117.07,131.57,200,144.89,100.00,99,Passed
api_v4_projects_repository_tags,10,9.96,8.00,133.43,149.38,200,162.48,100.00,99,Passed
api_v4_projects_repository_tree,10,9.96,8.00,117.40,131.20,200,141.56,100.00,99,Passed
