Name,RPS,RPS Result,RPS Threshold,TTFB Avg (ms),TTFB P90 (ms),TTFB P90 Threshold (ms),TTFB P95 (ms),Req Status,Req Status Threshold,Result
api_v4_groups,32,31.76,25.60,77.13,92.80,200,108.94,100.00,99,Passed
api_v4_groups_group,32,31.45,1.28,255.19,277.45,24000,420.91,100.00,20,Passed
api_v4_groups_group_subgroups,32,31.79,25.60,86.05,100.60,200,105.98,100.00,99,Passed
api_v4_groups_issues,32,19.53,5.12,1490.07,1701.85,8000,1795.99,100.00,99,Passed
api_v4_groups_merge_requests,32,31.38,2.56,231.43,260.00,17500,273.41,100.00,99,Passed
api_v4_groups_projects,32,31.33,1.28,236.72,262.48,22000,280.51,100.00,30,Passed
api_v4_projects,32,17.65,3.84,1651.50,2624.10,7000,2975.89,99.63,99,Passed
api_v4_projects_deploy_keys,32,31.88,25.60,56.86,66.63,200,76.73,100.00,99,Passed
api_v4_projects_issues,32,31.37,25.60,212.89,238.77,1000,250.77,100.00,99,Passed
api_v4_projects_issues_issue,32,31.27,25.60,268.88,314.11,2600,527.39,100.00,99,Passed
api_v4_projects_issues_search,32,31.94,25.60,45.33,48.55,800,55.10,1.56,99,FAILED
api_v4_projects_languages,32,31.89,25.60,56.91,66.57,200,74.25,100.00,99,Passed
api_v4_projects_merge_requests,32,31.61,25.60,141.99,168.73,400,199.21,100.00,99,Passed
api_v4_projects_merge_requests_merge_request,32,31.18,12.80,318.16,470.84,3500,771.44,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_commits,32,31.69,25.60,119.56,137.81,200,147.97,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_diffs,32,31.76,25.60,101.61,118.29,200,130.73,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_discussions,32,31.47,25.60,184.67,212.59,400,235.32,100.00,99,Passed
api_v4_projects_merge_requests_search,32,31.87,7.68,61.01,69.65,5000,77.68,1.56,99,FAILED
api_v4_projects_project,32,31.62,25.60,121.02,141.84,200,148.96,100.00,99,Passed
api_v4_projects_project_pipelines,32,31.76,25.60,80.05,95.12,200,100.73,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline,32,31.76,25.60,81.25,95.81,200,101.47,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline_jobs,32,31.11,5.12,397.25,551.39,2000,611.94,100.00,99,Passed
api_v4_projects_project_services,32,31.89,25.60,54.05,61.58,200,66.55,100.00,99,Passed
api_v4_projects_releases,32,31.66,25.60,110.18,131.00,200,138.98,100.00,99,Passed
api_v4_projects_repository_branches,32,31.72,25.60,58.46,69.00,200,80.73,100.00,99,Passed
api_v4_projects_repository_branches_branch,32,31.72,25.60,122.67,142.07,200,169.71,100.00,99,Passed
