timestamp,gitaly,gitlab-exporter,gitlab-shell,gitlab-workhorse,kas,migrations,minio,minio-mc,postgresql,registry,sidekiq,toolbox,webservice
1727781870,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727781900,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727781930,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727781960,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727781990,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727782020,0.1,0.075,0,0.5,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.5
1727782050,0.1,0.075,0,0.5,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.5
1727782080,0.1,0.075,0,0.5,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.5
1727782110,0.1,0.075,0,0.5,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.5
1727782140,0.1,0.075,0,0.9,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.6999999999999997
1727782170,0.1,0.075,0,0.9,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.6999999999999997
1727782200,0.1,0.075,0,0.9,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.6999999999999997
1727782230,0.1,0.075,0,0.9,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.6999999999999997
1727782260,0.1,0.075,0,0.9,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,2.6999999999999997
1727782290,0.1,0.075,0,0.9,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,2.6999999999999997
1727782320,0.1,0.075,0,0.9,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,2.6999999999999997
1727782350,0.1,0.075,0,0.9,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,2.6999999999999997
1727782380,0.1,0.075,0,0.9,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,2.6999999999999997
1727782410,0.1,0.075,0,0.9,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,2.6999999999999997
1727782440,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782470,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782500,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782530,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782560,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782590,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782620,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782650,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782680,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782710,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782740,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782770,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782800,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782830,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,3
1727782860,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,3
1727782890,0.1,0.075,0,1,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,3
1727782920,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727782950,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727782980,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727783010,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727783040,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727783070,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727783100,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727783130,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727783160,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727783190,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727783220,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727783250,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727783280,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727783310,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.1
1727783340,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,2.1
1727783370,0.1,0.075,0,0.7000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,2.1
1727783400,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.7999999999999998
1727783430,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.7999999999999998
1727783460,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.7999999999999998
1727783490,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.7999999999999998
1727783520,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.7999999999999998
1727783550,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.7999999999999998
1727783580,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.7999999999999998
1727783610,0.1,0.075,0,0.4,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.2
1727783640,0.1,0.075,0,0.4,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.2
1727783670,0.1,0.075,0,0.4,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.2
1727783700,0.1,0.075,0,0.4,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.2
1727783730,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.7999999999999998
1727783760,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727783790,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727783820,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727783850,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727783880,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727783910,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727783940,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727783970,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784000,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784030,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784060,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,2.4
1727784090,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,2.4
1727784120,0.1,0.075,0,0.4,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.2
1727784150,0.1,0.075,0,0.4,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.2
1727784180,0.1,0.075,0,0.4,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.2
1727784210,0.1,0.075,0,0.4,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.2
1727784240,0.1,0.075,0,0.4,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.2
1727784270,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.7999999999999998
1727784300,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.7999999999999998
1727784330,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.7999999999999998
1727784360,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,1.7999999999999998
1727784390,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.7999999999999998
1727784420,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.7999999999999998
1727784450,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.7999999999999998
1727784480,0.1,0.075,0,0.6000000000000001,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.7999999999999998
1727784510,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784540,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784570,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784600,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784630,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784660,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784690,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784720,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784750,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784780,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784810,0.1,0.075,0,0.8,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,2.4
1727784840,0.1,0.075,0,0.4,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,1.2
1727784870,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727784900,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727784930,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727784960,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727784990,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
