timestamp,certificates,gitaly,gitlab-exporter,gitlab-shell,gitlab-workhorse,kas,metrics,minio,postgresql,prometheus-server,prometheus-server-configmap-reload,redis,registry,sidekiq,toolbox,webservice,dependencies,configure
1727781510,,233734144,32030720,18149376,42786816,80232448,13406208,10268672,283725824,1407119360,4317184,57683968,27140096,2888658944,1191936,6217715712,,
1727781540,,233938944,31735808,18690048,42786816,80232448,13406208,10268672,308826112,1423912960,4321280,57815040,27144192,2882277376,1191936,6234513408,,
1727781570,,233734144,32026624,18690048,42782720,81051648,13692928,10268672,314048512,1414041600,4321280,57815040,27144192,2895450112,1191936,6220554240,,
1727781600,,233713664,31731712,17899520,42782720,81309696,12955648,10268672,314036224,1414238208,4321280,58015744,27410432,2899320832,1191936,6205251584,,
1727781630,,234340352,32030720,17924096,42786816,81047552,12955648,10268672,320987136,1416581120,4321280,57716736,27406336,2886529024,1191936,6217945088,,
1727781660,,234340352,31731712,17608704,42782720,81047552,13602816,10268672,320987136,1416753152,4321280,58019840,27336704,2906611712,1191936,6191087616,,
1727781690,,233906176,32022528,17608704,42782720,81051648,13602816,10268672,321265664,1418338304,4325376,58376192,27340800,2901639168,1191936,6203994112,,
1727781720,,234168320,31731712,18120704,42782720,79937536,13348864,10268672,320606208,1418608640,4325376,58163200,27344896,2883354624,1191936,6204743680,,
1727781750,,233644032,32075776,17903616,42786816,79671296,13348864,10235904,226529280,1419063296,4325376,56815616,27381760,2904543232,1191936,6216011776,,
1727781780,,233644032,32075776,19378176,42786816,79425536,13586432,10235904,226529280,1419051008,4321280,57151488,27381760,2904543232,1191936,6215524352,,
1727781810,,234184704,31731712,17920000,42782720,79671296,13582336,10235904,229265408,1385287680,4321280,57270272,27377664,2885505024,1191936,6176563200,,
1727781840,,233926656,31735808,17915904,42790912,79409152,13586432,10235904,229363712,1385295872,4321280,57327616,27381760,2911854592,1191936,6200537088,,
1727781870,,233926656,32075776,17551360,42786816,79409152,13586432,10235904,226287616,1391902720,4321280,57327616,27164672,2911854592,1191936,6191321088,,
1727781900,,233926656,31735808,18092032,42782720,79413248,13680640,10235904,206987264,1398464512,4317184,56799232,27426816,2884714496,1191936,6158635008,,
1727781930,,233680896,32026624,18706432,42786816,79724544,13942784,10235904,206987264,1387495424,4317184,57106432,27160576,2904940544,1191936,6182522880,,
1727781960,,233951232,31735808,17444864,44355584,79728640,13942784,10272768,254779392,1387565056,4317184,57069568,27168768,2904940544,1191936,6126206976,,
