timestamp,gitaly,gitlab-exporter,gitlab-shell,gitlab-workhorse,kas,migrations,minio,postgresql,registry,sidekiq,toolbox,webservice
1727780400,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,2000000000,350000000,5000000000
1727780430,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,2000000000,350000000,5000000000
1727780460,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780490,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780520,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780550,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780580,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780610,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780640,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780670,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780700,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780730,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780760,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780790,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780820,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780850,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780880,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,2000000000,350000000,5000000000
1727780910,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,2000000000,350000000,5000000000
1727780940,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727780970,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727781000,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727781030,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727781060,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727781090,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727781120,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727781150,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727781180,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727781210,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,4000000000,350000000,5000000000
1727781240,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,2000000000,350000000,5000000000
1727781270,209715200,100000000,12000000,200000000,200000000,209715200,134217728,268435456,67108864,2000000000,350000000,5000000000
