Name,RPS,RPS Result,RPS Threshold,TTFB Avg (ms),TTFB P90 (ms),TTFB P90 Threshold (ms),TTFB P95 (ms),Req Status,Req Status Threshold,Result
api_v4_groups,10,9.97,8.00,84.95,91.58,200,97.27,100.00,99,Passed
api_v4_groups_group,10,9.85,0.40,218.48,247.56,24000,262.21,100.00,20,Passed
api_v4_groups_group_subgroups,10,9.99,8.00,97.44,107.42,200,124.98,100.00,99,Passed
api_v4_groups_issues,10,9.77,1.60,307.16,341.40,8000,353.81,100.00,99,Passed
api_v4_groups_merge_requests,10,9.84,0.80,260.73,282.19,17500,294.44,100.00,99,Passed
api_v4_groups_projects,10,9.84,0.40,249.71,278.31,22000,295.25,100.00,30,Passed
api_v4_projects,10,9.6,1.20,536.36,576.20,7000,873.50,100.00,99,Passed
api_v4_projects_deploy_keys,10,10.0,8.00,67.28,72.71,200,88.42,100.00,99,Passed
api_v4_projects_issues,10,9.84,8.00,233.58,261.90,1000,280.07,100.00,99,Passed
api_v4_projects_issues_issue,10,9.73,8.00,233.20,266.41,2600,283.83,100.00,99,Passed
api_v4_projects_issues_search,10,10.01,8.00,60.29,84.27,800,167.94,4.99,99,FAILED
api_v4_projects_languages,10,10.0,8.00,61.87,69.70,200,74.07,100.00,99,Passed
api_v4_projects_merge_requests,10,9.93,8.00,159.59,183.01,400,225.18,100.00,99,Passed
api_v4_projects_merge_requests_merge_request,10,9.86,4.00,248.50,277.49,3500,295.89,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_commits,10,9.96,8.00,135.79,152.48,200,160.63,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_diffs,10,9.98,8.00,110.20,125.14,200,151.41,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_discussions,10,9.88,8.00,194.00,218.99,400,230.82,100.00,99,Passed
api_v4_projects_merge_requests_search,10,10.0,2.40,76.96,90.18,5000,211.42,4.99,99,FAILED
api_v4_projects_project,10,9.94,8.00,147.09,170.61,200,184.75,100.00,99,Passed
api_v4_projects_project_pipelines,10,9.95,8.00,86.16,99.78,200,106.66,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline,10,9.99,8.00,91.28,102.79,200,121.92,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline_jobs,10,9.77,1.60,292.37,320.01,2000,334.36,100.00,99,Passed
api_v4_projects_project_services,10,10.01,8.00,58.68,67.31,200,72.77,100.00,99,Passed
api_v4_projects_releases,10,9.92,8.00,126.85,145.62,200,160.07,100.00,99,Passed
api_v4_projects_repository_branches,10,9.94,8.00,64.35,70.45,200,76.91,100.00,99,Passed
api_v4_projects_repository_branches_branch,10,9.96,8.00,126.61,139.13,200,145.54,100.00,99,Passed
api_v4_projects_repository_branches_search,10,9.95,8.00,64.63,71.60,200,79.68,100.00,99,Passed
api_v4_projects_repository_commits,10,9.97,8.00,115.27,127.87,200,140.59,100.00,99,Passed
api_v4_projects_repository_commits_commit,10,9.95,8.00,106.59,117.58,200,128.78,100.00,99,Passed
api_v4_projects_repository_commits_commit_diff,10,9.92,8.00,184.08,201.15,200,217.02,100.00,99,FAILED
api_v4_projects_repository_compare,10,9.89,8.00,103.47,110.58,200,121.57,100.00,99,Passed
api_v4_projects_repository_files_file,10,9.98,8.00,111.20,122.91,200,129.00,100.00,99,Passed
api_v4_projects_repository_files_file_blame,10,5.16,0.08,1757.42,2110.61,35000,2251.30,100.00,15,Passed
api_v4_projects_repository_files_file_raw,10,9.97,8.00,114.59,126.28,200,136.94,100.00,99,Passed
api_v4_projects_repository_tags,10,9.96,8.00,130.57,143.08,200,157.00,100.00,99,Passed
api_v4_projects_repository_tree,10,9.98,8.00,113.93,123.96,200,132.77,100.00,99,Passed
api_v4_user,10,10.01,8.00,63.28,71.79,200,77.02,100.00,99,Passed
api_v4_users,10,10.0,8.00,79.78,91.24,300,96.11,100.00,99,Passed
git_clone,1,0.85,0.01,149.40,221.91,800,354.45,100.00,99,Passed
git_ls_remote,1,1.02,0.80,85.01,118.18,200,126.48,100.00,99,Passed
git_pull,1,1.01,0.80,126.72,182.01,400,212.44,100.00,99,Passed
web_group,1,1.01,0.80,235.66,311.24,500,344.14,100.00,99,Passed
web_group_issues,1,1.01,0.80,265.72,313.21,500,345.46,100.00,99,Passed
web_group_merge_requests,1,1.01,0.80,431.48,483.46,800,503.41,100.00,99,Passed
web_project,1,1.0,0.80,428.77,552.10,800,579.73,100.00,99,Passed
web_project_branches,1,1.01,0.80,555.89,613.52,900,640.27,100.00,99,Passed
web_project_branches_search,1,0.98,0.80,919.16,1003.17,1600,1035.23,100.00,99,Passed
web_project_commit,1,0.81,0.32,706.58,1835.16,3500,1916.61,100.00,99,Passed
