Name,RPS,RPS Result,RPS Threshold,TTFB Avg (ms),TTFB P90 (ms),TTFB P90 Threshold (ms),TTFB P95 (ms),Req Status,Req Status Threshold,Result
api_v4_groups,18,17.91,14.40,84.30,95.92,200,118.21,100.00,99,Passed
api_v4_groups_group,18,17.56,0.72,281.60,301.65,24000,950.49,100.00,20,Passed
api_v4_groups_group_subgroups,18,17.89,14.40,95.37,105.01,200,120.50,100.00,99,Passed
api_v4_groups_issues,18,17.53,2.88,329.41,385.60,8000,426.43,100.00,99,Passed
api_v4_groups_merge_requests,18,17.64,1.44,254.30,285.72,17500,300.39,100.00,99,Passed
api_v4_groups_projects,18,17.55,0.72,272.26,291.90,22000,324.22,100.00,30,Passed
api_v4_projects,18,14.06,2.16,1113.10,1792.19,7000,2407.10,99.64,99,Passed
api_v4_projects_deploy_keys,18,17.93,14.40,63.92,70.97,200,84.00,100.00,99,Passed
api_v4_projects_issues,18,17.66,14.40,221.33,249.35,1000,263.77,100.00,99,Passed
api_v4_projects_issues_issue,18,17.66,14.40,247.55,278.92,2600,312.73,100.00,99,Passed
api_v4_projects_issues_search,18,17.98,14.40,54.63,57.49,800,84.61,2.77,99,FAILED
api_v4_projects_languages,18,17.95,14.40,62.74,69.79,200,84.26,100.00,99,Passed
api_v4_projects_merge_requests,18,17.8,14.40,149.34,171.46,400,185.35,100.00,99,Passed
api_v4_projects_merge_requests_merge_request,18,17.59,7.20,272.45,295.87,3500,333.45,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_commits,18,17.82,14.40,130.11,149.07,200,161.69,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_diffs,18,17.87,14.40,105.02,119.13,200,130.79,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_discussions,18,17.74,14.40,204.51,222.50,400,257.40,100.00,99,Passed
api_v4_projects_merge_requests_search,18,17.97,4.32,66.09,71.04,5000,84.95,2.78,99,FAILED
api_v4_projects_project,18,17.81,14.40,135.69,156.33,200,172.63,100.00,99,Passed
api_v4_projects_project_pipelines,18,17.9,14.40,84.55,96.33,200,109.78,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline,18,17.89,14.40,88.91,101.30,200,119.93,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline_jobs,18,17.56,2.88,301.65,336.86,2000,353.56,100.00,99,Passed
api_v4_projects_project_services,18,17.97,14.40,58.33,66.42,200,72.91,100.00,99,Passed
api_v4_projects_releases,18,17.77,14.40,121.69,142.51,200,154.61,100.00,99,Passed
api_v4_projects_repository_branches,18,17.84,14.40,62.54,69.07,200,73.72,100.00,99,Passed
api_v4_projects_repository_branches_branch,18,17.87,14.40,119.92,134.33,200,144.37,100.00,99,Passed
api_v4_projects_repository_branches_search,18,17.9,14.40,61.76,68.15,200,74.13,100.00,99,Passed
api_v4_projects_repository_commits,18,17.9,14.40,111.91,124.61,200,136.45,100.00,99,Passed
api_v4_projects_repository_commits_commit,18,17.87,14.40,106.59,120.44,200,142.43,100.00,99,Passed
api_v4_projects_repository_commits_commit_diff,18,17.77,14.40,239.91,249.53,200,511.72,99.90,99,FAILED
api_v4_projects_repository_compare,18,17.73,14.40,106.01,118.38,200,176.18,100.00,99,Passed
api_v4_projects_repository_files_file,18,17.88,14.40,108.89,119.07,200,128.87,100.00,99,Passed
api_v4_projects_repository_files_file_blame,18,5.09,0.14,3263.91,3859.24,35000,4199.43,100.00,15,Passed
api_v4_projects_repository_files_file_raw,18,17.87,14.40,112.56,125.40,200,134.97,100.00,99,Passed
api_v4_projects_repository_tags,18,17.85,14.40,127.40,141.29,200,150.42,100.00,99,Passed
api_v4_projects_repository_tree,18,17.87,14.40,113.77,128.73,200,136.56,100.00,99,Passed
api_v4_user,18,17.93,14.40,61.96,69.13,200,75.15,100.00,99,Passed
api_v4_users,18,17.9,14.40,78.57,89.67,300,94.61,100.00,99,Passed
git_clone,1,0.85,0.02,150.10,205.00,800,222.36,100.00,99,Passed
git_ls_remote,2,2.01,1.44,86.05,102.98,200,133.77,100.00,99,Passed
git_pull,2,2.01,1.44,119.51,174.51,400,193.91,100.00,99,Passed
web_group,2,2.01,1.44,236.93,270.52,500,319.24,100.00,99,Passed
web_group_issues,2,2.01,1.44,247.34,284.87,500,328.80,100.00,99,Passed
web_group_merge_requests,2,1.99,1.44,431.25,471.14,800,513.07,100.00,99,Passed
web_project,2,1.96,1.44,409.28,470.73,800,543.10,100.00,99,Passed
web_project_branches,2,1.97,1.44,565.30,612.38,900,671.55,100.00,99,Passed
web_project_branches_search,2,1.87,1.44,910.32,972.37,1600,998.40,100.00,99,Passed
web_project_commit,2,1.94,0.58,641.61,1830.47,3500,1872.57,100.00,99,Passed
