Name,RPS,RPS Result,RPS Threshold,TTFB Avg (ms),TTFB P90 (ms),TTFB P90 Threshold (ms),TTFB P95 (ms),Req Status,Req Status Threshold,Result
api_v4_groups,40,39.72,32.00,77.61,90.64,200,96.86,100.00,99,Passed
api_v4_groups_group,40,20.95,1.60,1746.16,3017.88,24000,3380.56,100.00,20,Passed
api_v4_groups_group_subgroups,40,39.7,32.00,88.56,102.29,200,111.35,100.00,99,Passed
api_v4_groups_issues,40,17.58,6.40,2091.90,2425.72,8000,2500.45,100.00,99,Passed
api_v4_groups_merge_requests,40,38.92,3.20,426.34,593.66,17500,645.96,100.00,99,Passed
api_v4_groups_projects,40,30.98,1.60,1161.05,2504.28,22000,3414.65,100.00,30,Passed
api_v4_projects,40,14.76,4.80,2470.91,3461.73,7000,4048.13,99.56,99,Passed
api_v4_projects_deploy_keys,40,39.83,32.00,58.83,69.27,200,79.08,100.00,99,Passed
api_v4_projects_issues,40,39.13,32.00,281.23,404.12,1000,454.50,100.00,99,Passed
api_v4_projects_issues_issue,40,33.62,32.00,927.48,1687.93,2600,2096.50,100.00,99,Passed
api_v4_projects_issues_search,40,39.92,32.00,46.15,48.72,800,58.20,1.25,99,FAILED
api_v4_projects_languages,40,39.82,32.00,59.03,70.17,200,80.48,100.00,99,Passed
api_v4_projects_merge_requests,40,39.53,32.00,144.59,167.56,400,196.68,100.00,99,Passed
api_v4_projects_merge_requests_merge_request,40,29.53,16.00,1118.66,1959.31,3500,2351.99,99.77,99,Passed
api_v4_projects_merge_requests_merge_request_commits,40,39.57,32.00,124.79,143.33,200,160.02,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_diffs,40,39.66,32.00,100.77,118.42,200,127.76,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_discussions,40,39.34,32.00,193.23,219.95,400,233.31,100.00,99,Passed
api_v4_projects_merge_requests_search,40,39.86,9.60,63.93,70.67,5000,77.88,1.25,99,FAILED
api_v4_projects_project,40,39.5,32.00,125.18,145.15,200,152.90,100.00,99,Passed
api_v4_projects_project_pipelines,40,39.67,32.00,79.35,93.95,200,100.11,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline,40,39.64,32.00,81.24,95.55,200,100.48,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline_jobs,40,30.01,6.40,1202.68,1466.82,2000,1539.06,100.00,99,Passed
api_v4_projects_project_services,40,39.85,32.00,54.56,64.17,200,69.47,100.00,99,Passed
api_v4_projects_releases,40,39.46,32.00,120.59,144.83,200,188.27,99.95,99,Passed
api_v4_projects_repository_branches,40,39.64,32.00,61.70,72.18,200,83.57,100.00,99,Passed
api_v4_projects_repository_branches_branch,40,39.58,32.00,111.72,126.54,200,135.28,100.00,99,Passed
api_v4_projects_repository_branches_search,40,39.71,32.00,58.81,69.30,200,74.37,100.00,99,Passed
api_v4_projects_repository_commits,40,39.65,32.00,102.25,118.67,200,126.43,100.00,99,Passed
api_v4_projects_repository_commits_commit,40,39.68,32.00,94.97,109.17,200,115.04,100.00,99,Passed
api_v4_projects_repository_commits_commit_diff,40,39.4,32.00,233.59,386.28,200,510.94,100.00,99,FAILED
api_v4_projects_repository_compare,40,39.34,32.00,95.54,103.70,200,114.42,99.95,99,Passed
api_v4_projects_repository_files_file,40,39.61,32.00,101.63,115.23,200,122.94,100.00,99,Passed
api_v4_projects_repository_files_file_blame,40,4.98,0.32,7367.03,8592.97,35000,8822.87,100.00,15,Passed
api_v4_projects_repository_files_file_raw,40,39.61,32.00,104.85,121.11,200,128.77,100.00,99,Passed
api_v4_projects_repository_tags,40,39.58,32.00,116.64,131.84,200,137.18,100.00,99,Passed
api_v4_projects_repository_tree,40,39.64,32.00,104.71,120.14,200,126.62,100.00,99,Passed
api_v4_user,40,39.71,32.00,57.68,67.12,200,71.45,100.00,99,Passed
api_v4_users,40,39.77,32.00,70.87,83.00,300,87.04,100.00,99,Passed
git_clone,2,1.78,0.05,135.20,177.79,800,200.54,100.00,99,Passed
git_ls_remote,4,4.01,3.20,79.46,92.86,200,109.22,100.00,99,Passed
git_pull,4,4.0,3.20,118.59,166.40,400,172.07,100.00,99,Passed
web_group,4,3.97,3.20,230.81,266.93,500,282.17,100.00,99,Passed
web_group_issues,4,3.97,3.20,242.37,266.68,500,282.48,100.00,99,Passed
web_group_merge_requests,4,3.88,3.20,404.08,438.27,800,462.10,100.00,99,Passed
web_project,4,3.83,3.20,397.85,426.78,800,480.92,100.00,99,Passed
web_project_branches,4,3.79,3.20,538.88,587.41,900,649.37,100.00,99,Passed
web_project_branches_search,4,3.58,3.20,926.01,994.84,1600,1022.11,100.00,99,Passed
web_project_commit,4,3.83,1.28,641.03,1815.05,3500,1892.37,100.00,99,Passed
web_project_commits,4,3.84,3.20,601.95,647.05,1000,670.28,100.00,99,Passed
web_project_file_blame,4,1.62,0.64,2175.49,2240.70,2400,2353.01,100.00,99,Passed
web_project_file_rendered,4,3.37,2.56,756.50,729.07,1700,1459.12,100.00,99,Passed
web_project_file_source,4,3.76,1.28,770.87,1035.43,4000,1779.38,100.00,99,Passed
web_project_files,4,3.93,3.20,216.84,340.31,1200,360.72,100.00,99,Passed
web_project_issue,4,3.94,3.20,314.13,553.99,2000,611.34,100.00,99,Passed
web_project_issues,4,3.98,3.20,270.46,300.03,700,308.21,100.00,99,Passed
web_project_issues_search,4,3.99,3.20,280.38,299.40,700,409.41,100.00,99,Passed
web_project_merge_request,4,3.51,3.20,686.12,1809.67,2800,1871.06,100.00,99,Passed
web_project_merge_request_changes,4,3.84,3.20,576.34,768.98,1500,813.69,100.00,99,Passed
web_project_merge_request_commits,4,3.46,1.92,964.86,1025.16,1950,1815.02,100.00,99,Passed
web_project_merge_requests,4,3.91,3.20,409.80,449.86,900,473.95,100.00,99,Passed
web_project_merge_requests_search,4,3.9,3.20,425.89,466.80,700,483.61,100.00,99,Passed
web_project_pipelines,4,3.93,2.56,364.37,479.34,600,518.68,100.00,99,Passed
web_project_pipelines_pipeline,4,3.92,3.20,429.59,993.49,2500,1026.55,100.00,99,Passed
