Name,RPS,RPS Result,RPS Threshold,TTFB Avg (ms),TTFB P90 (ms),TTFB P90 Threshold (ms),TTFB P95 (ms),Req Status,Req Status Threshold,Result
api_v4_groups,36,35.77,28.80,75.66,89.77,200,94.02,100.00,99,Passed
api_v4_groups_group,36,35.28,1.44,224.68,253.68,24000,279.31,100.00,20,Passed
api_v4_groups_group_subgroups,36,35.7,28.80,86.22,99.41,200,105.36,100.00,99,Passed
api_v4_groups_issues,36,19.67,5.76,1678.53,1915.79,8000,2026.15,100.00,99,Passed
api_v4_groups_merge_requests,36,35.27,2.88,253.61,316.08,17500,361.85,100.00,99,Passed
api_v4_groups_projects,36,35.28,1.44,274.16,388.85,22000,447.97,100.00,30,Passed
api_v4_projects,36,12.73,4.32,2584.48,4316.60,7000,5922.45,99.12,99,Passed
api_v4_projects_deploy_keys,36,35.88,28.80,59.97,70.73,200,90.02,100.00,99,Passed
api_v4_projects_issues,36,35.33,28.80,212.95,240.03,1000,251.92,100.00,99,Passed
api_v4_projects_issues_issue,36,34.83,28.80,302.35,464.72,2600,611.72,100.00,99,Passed
api_v4_projects_issues_search,36,35.93,28.80,44.13,46.81,800,51.16,1.39,99,FAILED
api_v4_projects_languages,36,35.86,28.80,55.74,65.28,200,69.61,100.00,99,Passed
api_v4_projects_merge_requests,36,35.54,28.80,139.89,162.66,400,183.58,100.00,99,Passed
api_v4_projects_merge_requests_merge_request,36,33.62,14.40,450.17,921.72,3500,1196.12,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_commits,36,35.66,28.80,120.75,135.10,200,143.49,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_diffs,36,35.73,28.80,99.07,115.12,200,122.27,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_discussions,36,35.45,28.80,193.49,217.65,400,256.15,100.00,99,Passed
api_v4_projects_merge_requests_search,36,35.88,8.64,60.95,68.62,5000,75.44,1.39,99,FAILED
api_v4_projects_project,36,35.58,28.80,123.35,140.91,200,149.27,100.00,99,Passed
api_v4_projects_project_pipelines,36,35.75,28.80,77.60,90.36,200,96.20,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline,36,35.71,28.80,80.64,93.66,200,101.08,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline_jobs,36,31.25,5.76,1018.26,1290.85,2000,1374.51,100.00,99,Passed
api_v4_projects_project_services,36,35.86,28.80,52.83,60.96,200,66.80,100.00,99,Passed
api_v4_projects_releases,36,35.61,28.80,108.93,128.97,200,137.73,100.00,99,Passed
api_v4_projects_repository_branches,36,35.63,28.80,58.21,67.28,200,77.39,100.00,99,Passed
api_v4_projects_repository_branches_branch,36,35.68,28.80,108.56,121.99,200,129.04,100.00,99,Passed
api_v4_projects_repository_branches_search,36,35.74,28.80,57.90,65.78,200,71.51,100.00,99,Passed
api_v4_projects_repository_commits,36,35.71,28.80,100.28,113.91,200,121.41,100.00,99,Passed
api_v4_projects_repository_commits_commit,36,35.67,28.80,95.14,107.50,200,113.38,100.00,99,Passed
api_v4_projects_repository_commits_commit_diff,36,35.5,28.80,247.68,395.24,200,532.06,99.90,99,FAILED
api_v4_projects_repository_compare,36,35.45,28.80,94.49,102.89,200,112.75,100.00,99,Passed
api_v4_projects_repository_files_file,36,35.74,28.80,99.83,111.18,200,119.24,100.00,99,Passed
api_v4_projects_repository_files_file_blame,36,5.37,0.29,6116.06,7116.78,35000,7551.84,100.00,15,Passed
api_v4_projects_repository_files_file_raw,36,35.71,28.80,105.19,119.20,200,127.67,100.00,99,Passed
api_v4_projects_repository_tags,36,35.62,28.80,116.93,133.15,200,141.48,100.00,99,Passed
api_v4_projects_repository_tree,36,35.68,28.80,104.95,119.38,200,128.11,100.00,99,Passed
api_v4_user,36,35.81,28.80,55.64,63.67,200,67.65,100.00,99,Passed
api_v4_users,36,35.81,28.80,70.90,83.81,300,88.63,100.00,99,Passed
git_clone,2,1.73,0.05,127.62,167.05,800,198.37,100.00,99,Passed
git_ls_remote,4,4.01,2.88,79.33,92.00,200,117.19,100.00,99,Passed
git_pull,4,4.01,2.88,116.43,161.44,400,167.67,100.00,99,Passed
web_group,4,3.96,2.88,229.79,260.77,500,324.79,100.00,99,Passed
web_group_issues,4,3.95,2.88,243.55,268.19,500,283.66,100.00,99,Passed
web_group_merge_requests,4,3.89,2.88,393.63,428.51,800,444.73,100.00,99,Passed
web_project,4,3.83,2.88,385.22,410.35,800,437.60,100.00,99,Passed
web_project_branches,4,3.85,2.88,521.04,566.26,900,595.20,100.00,99,Passed
web_project_branches_search,4,3.69,2.88,880.85,942.21,1600,976.55,100.00,99,Passed
web_project_commit,4,3.77,1.15,623.57,1780.09,3500,1842.91,100.00,99,Passed
web_project_commits,4,3.84,2.88,571.05,607.37,1000,627.25,100.00,99,Passed
web_project_file_blame,4,1.69,0.58,2107.65,2156.88,2400,2668.30,100.00,99,Passed
web_project_file_rendered,4,3.92,2.30,550.75,598.83,1700,1384.83,100.00,99,Passed
web_project_file_source,4,3.77,1.15,760.28,1027.15,4000,1718.91,100.00,99,Passed
web_project_files,4,3.94,2.88,215.30,341.02,1200,365.48,100.00,99,Passed
web_project_issue,4,3.94,2.88,307.46,535.79,2000,582.34,100.00,99,Passed
web_project_issues,4,3.98,2.88,265.86,302.67,700,318.89,100.00,99,Passed
web_project_issues_search,4,3.98,2.88,269.62,297.74,700,323.06,100.00,99,Passed
web_project_merge_request,4,3.53,2.88,673.10,1785.12,2800,1858.99,100.00,99,Passed
web_project_merge_request_changes,4,3.85,2.88,570.41,766.01,1500,835.02,100.00,99,Passed
web_project_merge_request_commits,4,3.53,1.73,921.05,931.90,1950,1721.21,100.00,99,Passed
web_project_merge_requests,4,3.87,2.88,397.83,443.41,900,466.32,100.00,99,Passed
web_project_merge_requests_search,4,3.89,2.88,419.55,457.49,700,487.49,100.00,99,Passed
web_project_pipelines,4,3.96,2.30,343.80,438.59,600,491.86,100.00,99,Passed
web_project_pipelines_pipeline,4,3.94,2.88,410.99,930.87,2500,995.70,100.00,99,Passed
web_project_repository_compare,4,1.16,0.14,3181.10,3922.46,7500,4020.44,100.00,99,Passed
web_project_tags,4,3.7,2.30,736.48,773.87,1500,1196.46,100.00,99,Passed
web_user,4,3.96,1.73,285.47,387.37,4000,403.16,100.00,99,Passed
