Name,RPS,RPS Result,RPS Threshold,TTFB Avg (ms),TTFB P90 (ms),TTFB P90 Threshold (ms),TTFB P95 (ms),Req Status,Req Status Threshold,Result
api_v4_groups,18,17.86,14.40,84.22,95.23,200,104.42,100.00,99,Passed
api_v4_groups_group,18,17.63,0.72,277.03,294.26,24000,946.52,100.00,20,Passed
api_v4_groups_group_subgroups,18,17.89,14.40,93.93,105.59,200,115.69,100.00,99,Passed
api_v4_groups_issues,18,17.51,2.88,321.04,372.10,8000,390.76,100.00,99,Passed
api_v4_groups_merge_requests,18,17.59,1.44,254.13,287.71,17500,303.81,100.00,99,Passed
api_v4_groups_projects,18,17.56,0.72,276.69,298.86,22000,356.75,100.00,30,Passed
api_v4_projects,18,13.47,2.16,1151.36,2007.06,7000,2673.45,99.26,99,Passed
api_v4_projects_deploy_keys,18,17.96,14.40,64.06,70.29,200,81.24,100.00,99,Passed
api_v4_projects_issues,18,17.68,14.40,227.64,258.19,1000,275.58,100.00,99,Passed
api_v4_projects_issues_issue,18,17.72,14.40,260.59,281.56,2600,337.94,100.00,99,Passed
api_v4_projects_issues_search,18,17.98,14.40,53.20,53.84,800,91.16,2.78,99,FAILED
api_v4_projects_languages,18,17.97,14.40,63.26,71.09,200,77.26,100.00,99,Passed
api_v4_projects_merge_requests,18,17.78,14.40,157.60,183.23,400,207.97,100.00,99,Passed
api_v4_projects_merge_requests_merge_request,18,17.58,7.20,276.38,300.90,3500,339.47,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_commits,18,17.85,14.40,132.53,151.15,200,166.77,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_diffs,18,17.89,14.40,104.89,121.55,200,136.52,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_discussions,18,17.68,14.40,204.48,230.58,400,275.59,100.00,99,Passed
api_v4_projects_merge_requests_search,18,17.97,4.32,82.62,101.49,5000,234.04,2.78,99,FAILED
api_v4_projects_project,18,17.84,14.40,137.83,162.65,200,178.81,100.00,99,Passed
api_v4_projects_project_pipelines,18,17.88,14.40,88.33,103.48,200,119.83,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline,18,17.9,14.40,89.19,103.07,200,111.76,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline_jobs,18,17.56,2.88,297.61,330.46,2000,345.35,100.00,99,Passed
api_v4_projects_project_services,18,17.97,14.40,58.90,67.55,200,73.40,100.00,99,Passed
api_v4_projects_releases,18,17.79,14.40,124.22,146.21,200,157.59,100.00,99,Passed
api_v4_projects_repository_branches,18,17.85,14.40,63.04,70.37,200,75.21,100.00,99,Passed
api_v4_projects_repository_branches_branch,18,17.87,14.40,120.40,138.31,200,146.43,100.00,99,Passed
api_v4_projects_repository_branches_search,18,17.9,14.40,63.92,72.61,200,79.92,100.00,99,Passed
api_v4_projects_repository_commits,18,17.87,14.40,114.20,132.71,200,155.71,100.00,99,Passed
api_v4_projects_repository_commits_commit,18,17.86,14.40,107.03,122.07,200,144.46,100.00,99,Passed
api_v4_projects_repository_commits_commit_diff,18,17.75,14.40,184.46,205.13,200,218.53,100.00,99,FAILED
api_v4_projects_repository_compare,18,17.63,14.40,168.67,186.68,200,536.87,99.90,99,Passed
api_v4_projects_repository_files_file,18,17.88,14.40,109.97,124.86,200,134.77,100.00,99,Passed
api_v4_projects_repository_files_file_blame,18,4.98,0.14,3328.05,3968.48,35000,4248.05,100.00,15,Passed
api_v4_projects_repository_files_file_raw,18,17.86,14.40,116.61,133.59,200,143.95,100.00,99,Passed
api_v4_projects_repository_tags,18,17.86,14.40,127.80,141.69,200,150.43,100.00,99,Passed
api_v4_projects_repository_tree,18,17.88,14.40,114.16,130.47,200,138.90,100.00,99,Passed
api_v4_user,18,17.93,14.40,63.96,73.24,200,83.65,100.00,99,Passed
api_v4_users,18,17.92,14.40,78.53,91.25,300,97.81,100.00,99,Passed
git_clone,1,0.83,0.02,169.66,236.22,800,289.97,100.00,99,Passed
git_ls_remote,2,2.01,1.44,89.95,113.55,200,139.52,100.00,99,Passed
git_pull,2,2.01,1.44,120.90,168.00,400,179.49,100.00,99,Passed
web_group,2,2.01,1.44,255.37,317.96,500,377.49,100.00,99,Passed
web_group_issues,2,2.01,1.44,253.66,303.22,500,324.34,100.00,99,Passed
web_group_merge_requests,2,1.99,1.44,431.24,482.59,800,541.28,100.00,99,Passed
web_project,2,1.96,1.44,418.71,464.94,800,563.88,100.00,99,Passed
web_project_branches,2,1.93,1.44,562.17,611.98,900,646.80,100.00,99,Passed
web_project_branches_search,2,1.87,1.44,904.61,977.79,1600,997.26,100.00,99,Passed
