Name,RPS,RPS Result,RPS Threshold,TTFB Avg (ms),TTFB P90 (ms),TTFB P90 Threshold (ms),TTFB P95 (ms),Req Status,Req Status Threshold,Result
api_v4_groups,32,31.81,25.60,80.70,95.79,200,105.02,100.00,99,Passed
api_v4_groups_group,32,31.4,1.28,221.81,250.46,24000,273.40,100.00,20,Passed
api_v4_groups_group_subgroups,32,31.79,25.60,88.29,103.22,200,108.74,100.00,99,Passed
api_v4_groups_issues,32,17.28,5.12,1691.00,1971.97,8000,2066.27,100.00,99,Passed
api_v4_groups_merge_requests,32,31.3,2.56,243.21,271.00,17500,287.24,100.00,99,Passed
api_v4_groups_projects,32,31.32,1.28,246.60,275.33,22000,292.49,100.00,30,Passed
api_v4_projects,32,13.98,3.84,2098.49,3477.22,7000,5170.78,99.41,99,Passed
api_v4_projects_deploy_keys,32,31.9,25.60,58.04,67.26,200,77.49,100.00,99,Passed
api_v4_projects_issues,32,31.39,25.60,219.49,246.76,1000,259.27,100.00,99,Passed
api_v4_projects_issues_issue,32,31.19,25.60,245.74,263.14,2600,331.34,100.00,99,Passed
api_v4_projects_issues_search,32,31.93,25.60,46.71,49.19,800,53.84,1.56,99,FAILED
api_v4_projects_languages,32,31.86,25.60,58.61,69.03,200,76.34,100.00,99,Passed
api_v4_projects_merge_requests,32,31.57,25.60,150.13,178.96,400,237.34,100.00,99,Passed
api_v4_projects_merge_requests_merge_request,32,29.75,12.80,443.26,797.72,3500,1329.96,99.77,99,Passed
api_v4_projects_merge_requests_merge_request_commits,32,31.67,25.60,126.39,146.61,200,158.49,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_diffs,32,31.74,25.60,103.55,121.15,200,130.37,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_discussions,32,31.46,25.60,200.17,224.39,400,248.47,100.00,99,Passed
api_v4_projects_merge_requests_search,32,31.85,7.68,66.13,74.43,5000,86.48,1.56,99,FAILED
api_v4_projects_project,32,31.62,25.60,128.60,151.91,200,161.09,100.00,99,Passed
api_v4_projects_project_pipelines,32,31.75,25.60,84.22,100.21,200,108.78,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline,32,31.75,25.60,86.84,104.29,200,112.34,100.00,99,Passed
