"Time","VUs"
1712647560000,0
1712647590000,0
1712647620000,0
1712647650000,0
1712647680000,0
1712647710000,0
1712647740000,0
1712647770000,0
1712647800000,0
1712647830000,0
1712647860000,0
1712647890000,0
1712647920000,0
1712647950000,0
1712647980000,0
1712648010000,0
1712648040000,0
1712648070000,0
1712648100000,0
1712648130000,0
1712648160000,0
1712648190000,0
1712648220000,0
1712648250000,0
1712648280000,0
1712648310000,0
1712648340000,0
1712648370000,0
1712648400000,0
1712648430000,0
1712648460000,0
1712648490000,0
1712648520000,0
1712648550000,0
1712648580000,0
1712648610000,0
1712648640000,0
1712648670000,0
1712648700000,0
1712648730000,0
1712648760000,0
1712648790000,0
1712648820000,0
1712648850000,0
1712648880000,0
1712648910000,0
1712648940000,0
1712648970000,0
1712649000000,0
1712649030000,0
1712649060000,0
1712649090000,0
1712649120000,0
1712649150000,0
1712649180000,0
1712649210000,0
1712649240000,0
1712649270000,0
1712649300000,0
1712649330000,0
1712649360000,0
1712649390000,0
1712649420000,0
1712649450000,0
1712649480000,0
1712649510000,0
1712649540000,0
1712649570000,0
1712649600000,0
1712649630000,0
1712649660000,0
1712649690000,0
1712649720000,0
1712649750000,0
1712649780000,0
1712649810000,0
1712649840000,0
1712649870000,0
1712649900000,0
1712649930000,0
1712649960000,0
1712649990000,0
1712650020000,0
1712650050000,0
1712650080000,0
1712650110000,0
1712650140000,0
1712650170000,0
1712650200000,0
1712650230000,0
1712650260000,0
1712650290000,0
1712650320000,0
1712650350000,0
1712650380000,0
1712650410000,0
1712650440000,0
1712650470000,0
1712650500000,0
1712650530000,5
1712650560000,23
1712650590000,21.862068965517242
1712650620000,22.310344827586206
1712650650000,22.733333333333334
1712650680000,21.37037037037037
1712650710000,23.933333333333334
1712650740000,20.20689655172414
1712650770000,24
1712650800000,20.178571428571427
1712650830000,24
1712650860000,20.035714285714285
1712650890000,24
1712650920000,20.107142857142858
1712650950000,24
1712650980000,19.821428571428573
1712651010000,24
1712651040000,20.035714285714285
1712651070000,24
1712651100000,20.071428571428573
1712651130000,24
1712651160000,20.137931034482758
1712651190000,24
1712651220000,19.964285714285715
1712651250000,24
1712651280000,20
1712651310000,24
1712651340000,20.035714285714285
1712651370000,24
1712651400000,20.20689655172414
1712651430000,23.966666666666665
1712651460000,20.714285714285715
1712651490000,23.466666666666665
1712651520000,21.821428571428573
1712651550000,22.366666666666667
1712651580000,21.866666666666667
1712651610000,22.25
1712651640000,23.3
1712651670000,20.785714285714285
1712651700000,23.933333333333334
1712651730000,20.142857142857142
1712651760000,24
1712651790000,20.20689655172414
1712651820000,24
1712651850000,20
1712651880000,24
1712651910000,20
1712651940000,24
1712651970000,20.035714285714285
1712652000000,24
1712652030000,20.107142857142858
1712652060000,24
1712652090000,20.071428571428573
1712652120000,24
1712652150000,20.17241379310345
1712652180000,24
1712652210000,20.035714285714285
1712652240000,24
1712652270000,20.035714285714285
1712652300000,24
1712652330000,20.071428571428573
1712652360000,24
1712652390000,20.103448275862068
1712652420000,24
1712652450000,20.285714285714285
1712652480000,23.8
1712652510000,21.107142857142858
1712652540000,23
1712652570000,21.896551724137932
1712652600000,22.310344827586206
1712652630000,22.666666666666668
1712652660000,21.428571428571427
1712652690000,23.966666666666665
1712652720000,21.107142857142858
1712652750000,24
1712652780000,20.035714285714285
1712652810000,24
1712652840000,20.071428571428573
1712652870000,24
1712652900000,20.137931034482758
1712652930000,24
1712652960000,20.035714285714285
1712652990000,24
1712653020000,8.642857142857142
1712653050000,1
1712653080000,1.6785714285714286
1712653110000,3
1712653140000,2.4814814814814814
1712653170000,3
1712653200000,2.5
1712653230000,3
1712653260000,2.5714285714285716
1712653290000,3
1712653320000,2.642857142857143
1712653350000,2.933333333333333
1712653380000,2.7857142857142856
1712653410000,2.8333333333333335
1712653440000,2.8275862068965516
1712653470000,2.6206896551724137
1712653500000,2.966666666666667
1712653530000,2.5925925925925926
1712653560000,3
1712653590000,2.5555555555555554
1712653620000,3
1712653650000,2.5
1712653680000,3
1712653710000,2.3703703703703702
1712653740000,3
1712653770000,2.5925925925925926
1712653800000,3
1712653830000,2.642857142857143
1712653860000,3
1712653890000,2.5357142857142856
1712653920000,2.9
1712653950000,2.892857142857143
1712653980000,2.7586206896551726
1712654010000,3
1712654040000,2.5555555555555554
1712654070000,3
1712654100000,2.5925925925925926
1712654130000,3
1712654160000,2.5357142857142856
1712654190000,3
