"Time","Redis","PostgreSQL","rails_2","rails_1","Gitaly"
1712647560000,0.07680000000000287,0.03919999999999613,0.14359999999999662,0.13785654278512594,0.01679999999999826
1712647590000,0.07240000000000224,0.0396000000000003,0.13919999999999588,0.16960000000000475,0.017199999999993443
1712647620000,0.07720000000000249,0.03999999999999537,0.13799999999999701,0.13000000000000445,0.019600000000009277
1712647650000,0.07839999999999692,0.03920000000000523,0.135199999999995,0.1436000000000055,0.015999999999999015
1712647680000,0.06360000000000576,0.03640000000000321,0.1204000000000085,0.12200000000000255,0.01880000000000548
1712647710000,0.06440000000000057,0.03960000000000041,0.12439999999999574,0.1403999999999993,0.015999999999994463
1712647740000,0.05999999999999539,0.037600000000002076,0.14079999999999016,0.1288000000000008,0.020800000000003593
1712647770000,0.06079999999999919,0.04360000000000119,0.16439999999999577,0.15839999999999654,0.015199999999999658
1712647800000,0.0699999999999954,0.04159999999999853,0.14239999999999775,0.13560000000000394,0.027200000000002555
1712647830000,0.06599999999999906,0.042799999999997396,0.14239999999999775,0.1459999999999989,0.019199999999995998
1712647860000,0.06440000000000057,0.03800000000000636,0.15160000000000295,0.12559999999999938,0.02039999999999942
1712647890000,0.05800000000000183,0.03920000000000068,0.12960000000000027,0.13399999999999612,0.017200000000002325
1712647920000,0.0616000000000031,0.03680000000000283,0.12599999999998968,0.11519999999999508,0.016799999999989268
1712647950000,0.07120000000000348,0.05199999999999816,0.14039999999999953,0.15520000000000878,0.015600000000013159
1712647980000,0.0599999999999955,0.03400000000000092,0.12559999999999483,0.12039999999999496,0.015199999999995217
1712648010000,0.06720000000000259,0.041200000000003456,0.14640000000000752,0.13440000000000485,0.01640000000000319
1712648040000,0.06680000000000297,0.036399999999998656,0.14200000000001622,0.1315999999999985,0.016000000000003567
1712648070000,0.0643999999999959,0.041199999999998904,0.12799999999998357,0.12800000000001066,0.015999999999994463
1712648100000,0.06239999999999779,0.03800000000000181,0.12359999999999649,0.12560000000000382,0.014799999999995483
1712648130000,0.07159999999999855,0.03880000000001016,0.1368000000000028,0.17839999999999223,0.016800000000011917
1712648160000,0.06960000000000033,0.037600000000002076,0.1272000000000023,0.12120000000002618,0.01679999999999371
1712648190000,0.07760000000000211,0.041599999999998416,0.1468000000000027,0.1468000000000026,0.01640000000000319
1712648220000,0.07240000000000679,0.03759999999999308,0.14560000000001283,0.12400000000000522,0.017200000000002436
1712648250000,0.07440000000000502,0.04319999999999702,0.13280000000000636,0.1384000000000012,0.01640000000000319
1712648280000,0.06680000000000286,0.038800000000000945,0.14520000000000433,0.12159999999999838,0.015200000000013314
1712648310000,0.06880000000000108,0.042000000000007254,0.14480000000000448,0.1351999999999769,0.013999999999996349
1712648340000,0.06119999999999881,0.03720000000000245,0.12760000000001115,0.13919999999998223,0.01479999999998649
1712648370000,0.06600000000000361,0.04080000000001749,0.13399999999999623,0.13399999999999612,0.01720000000001154
1712648400000,0.0692000000000007,0.036000000000003696,0.13720000000000243,0.12120000000000786,0.017599999999992955
1712648430000,0.06800000000000184,0.040000000000000036,0.15119999999999878,0.14199999999999802,0.016399999999994086
1712648460000,0.0723999999999978,0.03560000000000396,0.1479999999999927,0.12640000000001195,0.01520000000000421
1712648490000,0.07680000000000287,0.0396000000000003,0.14520000000001332,0.14439999999998665,0.016000000000003567
1712648520000,0.0723999999999978,0.036399999999994104,0.14040000000000863,0.13159999999998018,0.01679999999999371
1712648550000,0.06960000000000033,0.04039999999999966,0.14640000000000308,0.16680000000003004,0.01640000000000319
1712648580000,0.0708000000000083,0.03879999999999195,0.14919999999998235,0.12280000000000635,0.01520000000000421
1712648610000,0.06999999999999995,0.04199999999999815,0.1432000000000152,0.13800000000000157,0.01559999999999473
1712648640000,0.6716000000000076,0.03720000000000245,0.1300000000000089,0.12079999999999902,0.01559999999999484
1712648670000,1.1716000000000075,0.038800000000001056,0.11799999999998345,0.12959999999997285,0.016000000000021664
1712648700000,1.1096000000000004,0.03759999999999308,0.1256000000000037,0.1336000000000056,0.015999999999994352
1712648730000,1.0752000000000044,0.039199999999991575,0.14040000000000863,0.12920000000000031,0.01520000000000421
1712648760000,1.1039999999999965,0.03679999999999373,0.1268000000000119,0.11760000000001103,0.015199999999995217
1712648790000,0.9055999999999949,0.03720000000000245,0.15199999999997982,0.12319999999999676,0.016800000000002924
1712648820000,0.06400000000000539,0.03879999999999195,0.1548000000000046,0.11920000000001885,0.017599999999993066
1712648850000,0.06360000000000576,0.03840000000000143,0.1383999999999923,0.15239999999998866,0.01920000000001887
1712648880000,0.0576000000000112,0.03840000000000132,0.13759999999999295,0.11720000000000241,0.01559999999999484
1712648910000,0.06999999999999085,0.05679999999998464,0.13480000000000458,0.18080000000000807,0.01760000000000206
1712648940000,0.06199999999998895,0.03840000000000132,0.13239999999998853,0.12239999999997953,0.016800000000011917
1712648970000,0.06440000000000501,0.04159999999999853,0.13320000000000587,0.1467999999999937,0.021600000000034925
1712649000000,0.06479999999999564,0.037600000000002076,0.1388000000000008,0.12919999999999143,0.016799999999966397
1712649030000,0.061200000000008026,0.04479999999999562,0.13759999999999306,0.13159999999998007,0.01720000000001165
1712649060000,0.05999999999999994,0.03679999999999384,0.1303999999999722,0.11879999999995539,0.017999999999992577
1712649090000,0.06239999999999779,0.04000000000000903,0.1499999999999816,0.12640000000001217,0.018000000000010896
1712649120000,0.05800000000001093,0.038399999999983225,0.13079999999999914,0.12799999999999245,0.01760000000000217
1712649150000,0.06200000000000727,0.039600000000009405,0.12759999999998373,0.11640000000001227,0.016000000000003567
