Name,RPS,RPS Result,RPS Threshold,TTFB Avg (ms),TTFB P90 (ms),TTFB P90 Threshold (ms),TTFB P95 (ms),Req Status,Req Status Threshold,Result
api_v4_groups,4,4.01,3.20,84.51,93.83,200,99.15,100.00,99,Passed
api_v4_groups_group,4,3.99,0.16,226.83,257.92,24000,285.43,100.00,20,Passed
api_v4_groups_group_subgroups,4,4.01,3.20,97.38,110.37,200,121.52,100.00,99,Passed
api_v4_groups_issues,4,3.95,0.64,318.40,353.12,8000,395.64,100.00,99,Passed
api_v4_groups_merge_requests,4,3.98,0.32,271.40,296.20,17500,316.77,100.00,99,Passed
api_v4_groups_projects,4,3.98,0.16,256.00,283.74,22000,304.38,100.00,30,Passed
api_v4_projects,4,3.9,0.48,507.59,570.77,7000,643.56,100.00,99,Passed
api_v4_projects_deploy_keys,4,4.01,3.20,69.20,77.07,200,109.50,100.00,99,Passed
api_v4_projects_issues,4,3.98,3.20,251.21,277.34,1000,324.47,100.00,99,Passed
api_v4_projects_issues_issue,4,4.0,3.20,242.83,275.96,2600,315.33,100.00,99,Passed
api_v4_projects_issues_search,4,3.98,3.20,79.44,216.52,800,275.74,15.89,99,FAILED
api_v4_projects_languages,4,4.01,3.20,67.38,77.98,200,108.47,100.00,99,Passed
api_v4_projects_merge_requests,4,4.0,3.20,171.37,206.21,400,224.45,100.00,99,Passed
api_v4_projects_merge_requests_merge_request,4,3.97,1.60,273.97,322.28,3500,356.64,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_commits,4,4.01,3.20,141.24,166.49,200,184.59,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_diffs,4,4.01,3.20,115.79,138.50,200,153.81,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_discussions,4,4.0,3.20,212.29,243.52,400,254.84,100.00,99,Passed
api_v4_projects_merge_requests_search,4,4.01,0.96,89.75,224.06,5000,249.65,12.44,99,FAILED
api_v4_projects_project,4,4.01,3.20,151.71,178.92,200,195.57,100.00,99,Passed
api_v4_projects_project_pipelines,4,4.01,3.20,93.67,114.24,200,146.38,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline,4,4.01,3.20,93.39,109.28,200,129.27,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline_jobs,4,3.96,0.64,297.49,329.68,2000,348.40,100.00,99,Passed
api_v4_projects_project_services,4,4.01,3.20,61.74,72.56,200,94.18,100.00,99,Passed
api_v4_projects_releases,4,3.98,3.20,140.53,168.01,200,184.71,100.00,99,Passed
api_v4_projects_repository_branches,4,4.0,3.20,75.54,98.73,200,120.35,100.00,99,Passed
api_v4_projects_repository_branches_branch,4,4.01,3.20,130.34,145.24,200,163.14,100.00,99,Passed
api_v4_projects_repository_branches_search,4,4.0,3.20,69.34,77.35,200,99.61,100.00,99,Passed
api_v4_projects_repository_commits,4,4.01,3.20,119.16,134.77,200,155.02,100.00,99,Passed
api_v4_projects_repository_commits_commit,4,4.01,3.20,112.68,137.99,200,170.06,100.00,99,Passed
api_v4_projects_repository_commits_commit_diff,4,4.0,3.20,186.60,202.48,200,221.97,100.00,99,FAILED
api_v4_projects_repository_compare,4,3.97,3.20,145.44,150.16,200,219.70,100.00,99,Passed
api_v4_projects_repository_files_file,4,4.01,3.20,111.94,126.27,200,141.51,100.00,99,Passed
api_v4_projects_repository_files_file_blame,4,2.9,0.03,1246.19,1298.06,35000,2015.63,100.00,15,Passed
api_v4_projects_repository_files_file_raw,4,4.01,3.20,115.99,132.01,200,142.52,100.00,99,Passed
api_v4_projects_repository_tags,4,4.01,3.20,136.81,154.19,200,176.25,100.00,99,Passed
api_v4_projects_repository_tree,4,4.01,3.20,117.86,130.16,200,139.36,100.00,99,Passed
api_v4_user,4,4.01,3.20,67.50,77.89,200,97.69,100.00,99,Passed
api_v4_users,4,4.01,3.20,83.90,97.25,300,109.41,100.00,99,Passed
git_clone,1,0.81,0.01,150.12,221.23,800,238.43,100.00,99,Passed
git_ls_remote,1,1.02,0.32,85.83,124.61,200,131.27,100.00,99,Passed
git_pull,1,1.01,0.32,122.88,169.96,400,203.87,100.00,99,Passed
web_group,1,1.01,0.32,227.81,290.84,500,315.78,100.00,99,Passed
web_group_issues,1,1.01,0.32,267.09,309.50,500,324.70,100.00,99,Passed
web_group_merge_requests,1,1.01,0.32,419.59,469.08,800,501.94,100.00,99,Passed
web_project,1,1.0,0.32,418.95,492.03,800,521.41,100.00,99,Passed
web_project_branches,1,1.01,0.32,546.80,599.26,900,613.38,100.00,99,Passed
web_project_branches_search,1,0.97,0.32,940.03,1000.91,1600,1063.78,100.00,99,Passed
web_project_commit,1,0.83,0.13,702.62,1821.11,3500,1892.23,100.00,99,Passed
web_project_commits,1,1.0,0.32,618.94,705.84,1000,737.54,100.00,99,Passed
web_project_file_blame,1,0.48,0.06,2082.94,2176.08,2400,2250.36,100.00,99,Passed
web_project_file_rendered,1,0.99,0.26,557.07,614.35,1700,740.82,100.00,99,Passed
web_project_file_source,1,0.91,0.13,793.02,1366.66,4000,1818.42,100.00,99,Passed
web_project_files,1,1.01,0.32,250.09,404.21,1200,529.40,100.00,99,Passed
web_project_issue,1,1.0,0.32,347.67,574.25,2000,622.66,100.00,99,Passed
web_project_issues,1,1.01,0.32,294.18,355.01,700,371.60,100.00,99,Passed
web_project_issues_search,1,1.01,0.32,289.71,338.77,700,362.47,100.00,99,Passed
web_project_merge_request,1,0.87,0.32,703.08,1777.05,2800,1932.98,100.00,99,Passed
web_project_merge_request_changes,1,0.97,0.32,637.64,826.40,1500,959.19,100.00,99,Passed
web_project_merge_request_commits,1,0.93,0.19,1010.95,1126.88,1950,1743.16,100.00,99,Passed
web_project_merge_requests,1,1.01,0.32,431.40,492.90,900,549.36,100.00,99,Passed
web_project_merge_requests_search,1,1.01,0.32,439.60,502.91,700,516.91,100.00,99,Passed
web_project_pipelines,1,1.01,0.26,392.82,515.90,600,571.48,100.00,99,Passed
web_project_pipelines_pipeline,1,1.01,0.32,429.66,971.87,2500,1045.14,100.00,99,Passed
web_project_repository_compare,1,0.32,0.02,3093.64,3352.06,7500,3407.13,100.00,99,Passed
web_project_tags,1,1.0,0.26,736.86,804.21,1500,863.43,100.00,99,Passed
web_user,1,1.01,0.19,317.05,427.34,4000,446.66,100.00,99,Passed
